更新时间: 2026-04-05 23:36:58（北京时间）

更新时间,#genre#
2026-04-05 23:36:58,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV4K,http://111.193.235.246:8888/rtp/239.3.1.244:2000$北京市联通
CCTV4K,http://111.193.235.246:8888/rtp/239.3.1.245:2000$北京市联通
兵器科技,http://59.175.9.167:8899/rtp/239.69.1.79:10114$湖北电信
风云足球,http://59.175.9.167:8899/rtp/239.69.1.81:10126$湖北电信
第一剧场,http://59.175.9.167:8899/rtp/239.69.1.74:10084$湖北电信
世界地理,http://59.175.9.167:8899/rtp/239.69.1.91:10186$湖北电信
央视台球,http://59.175.9.167:8899/rtp/239.69.1.98:10224$湖北电信
高尔夫网球,http://59.175.9.167:8899/rtp/239.69.1.83:10138$湖北电信
中学生,http://27.12.234.77:8001/rtp/225.0.4.184:7980$重庆市联通

卫视频道,#genre#
湖南卫视,http://115.171.216.58:4000/rtp/225.1.8.41:8012$北京市电信
湖南卫视,http://59.175.9.167:8899/rtp/239.254.96.139:8908$湖北电信
湖南卫视,http://27.12.234.77:8001/rtp/225.0.4.107:7980$重庆市联通
湖南卫视,http://27.12.234.77:8001/rtp/225.0.4.75:7980$重庆市联通
湖南卫视,http://111.193.235.246:8888/rtp/239.3.1.132:8012$北京市联通
浙江卫视,http://115.171.216.58:4000/rtp/225.1.8.46:8036$北京市电信
浙江卫视,http://59.175.9.167:8899/rtp/239.254.96.143:8932$湖北电信
浙江卫视,http://27.12.234.77:8001/rtp/225.0.4.105:7980$重庆市联通
浙江卫视,http://27.12.234.77:8001/rtp/225.0.4.81:7980$重庆市联通
浙江卫视,http://111.193.235.246:8888/rtp/239.3.1.137:8036$北京市联通
江苏卫视,http://115.171.216.58:4000/rtp/225.1.8.44:8028$北京市电信
江苏卫视,http://59.175.9.167:8899/rtp/239.254.96.144:8938$湖北电信
江苏卫视,http://27.12.234.77:8001/rtp/225.0.4.79:7980$重庆市联通
江苏卫视,http://111.193.235.246:8888/rtp/239.3.1.135:8028$北京市联通
东方卫视,http://115.171.216.58:4000/rtp/225.1.8.45:8032$北京市电信
东方卫视,http://59.175.9.167:8899/rtp/239.254.96.142:8926$湖北电信
东方卫视,http://27.12.234.77:8001/rtp/225.0.4.103:7980$重庆市联通
东方卫视,http://27.12.234.77:8001/rtp/225.0.4.80:7980$重庆市联通
东方卫视,http://111.193.235.246:8888/rtp/239.3.1.136:8032$北京市联通
深圳卫视,http://115.171.216.58:4000/rtp/225.1.8.43:8020$北京市电信
深圳卫视,http://59.175.9.167:8899/rtp/239.254.96.137:8896$湖北电信
深圳卫视,http://27.12.234.77:8001/rtp/225.0.4.101:7980$重庆市联通
深圳卫视,http://27.12.234.77:8001/rtp/225.0.4.202:7980$重庆市联通
深圳卫视,http://111.193.235.246:8888/rtp/239.3.1.134:8020$北京市联通
北京卫视,http://115.171.216.58:4000/rtp/225.1.8.21:8002$北京市电信
北京卫视,http://59.175.9.167:8899/rtp/239.254.96.141:8920$湖北电信
北京卫视,http://27.12.234.77:8001/rtp/225.0.4.122:7980$重庆市联通
北京卫视,http://27.12.234.77:8001/rtp/225.0.4.78:7980$重庆市联通
北京卫视,http://111.193.235.246:8888/rtp/239.3.1.241:8000$北京市联通
广东卫视,http://115.171.216.58:4000/rtp/225.1.8.49:8048$北京市电信
广东卫视,http://59.175.9.167:8899/rtp/239.254.96.140:8914$湖北电信
广东卫视,http://27.12.234.77:8001/rtp/225.0.4.102:7980$重庆市联通
广东卫视,http://27.12.234.77:8001/rtp/225.0.4.84:7980$重庆市联通
广东卫视,http://111.193.235.246:8888/rtp/239.3.1.142:8048$北京市联通
广西卫视,http://59.175.9.167:8899/rtp/239.69.1.191:10788$湖北电信
广西卫视,http://111.193.235.246:8888/rtp/239.3.1.39:8300$北京市联通
东南卫视,http://115.171.216.58:4000/rtp/225.1.8.79:8148$北京市电信
东南卫视,http://59.175.9.167:8899/rtp/239.69.1.108:10286$湖北电信
东南卫视,http://27.12.234.77:8001/rtp/225.0.4.200:7980$重庆市联通
东南卫视,http://111.193.235.246:8888/rtp/239.3.1.156:8148$北京市联通
海南卫视,http://59.175.9.167:8899/rtp/239.69.1.151:10542$湖北电信
海南卫视,http://111.193.235.246:8888/rtp/239.3.1.45:8304$北京市联通
河北卫视,http://115.171.216.58:4000/rtp/225.1.8.76:8002$北京市电信
河北卫视,http://59.175.9.167:8899/rtp/239.254.96.113:9616$湖北电信
河北卫视,http://27.12.234.77:8001/rtp/225.0.4.174:7980$重庆市联通
